State,Company,Year,Checking or savings account,Credit card or prepaid card,"Credit reporting, credit repair services, or other personal consumer reports",Debt collection,"Money transfer, virtual currency, or money service",Mortgage,"Payday loan, title loan, or personal loan",Student loan,Vehicle loan or lease,Total
AK,"BANK OF AMERICA, NATIONAL ASSOCIATION",2011,0,2,0,0,0,1,0,0,0,3
AK,"BANK OF AMERICA, NATIONAL ASSOCIATION",2012,0,8,0,0,0,8,0,0,0,16
AK,"BANK OF AMERICA, NATIONAL ASSOCIATION",2013,1,4,0,0,0,12,0,0,0,17
AK,"BANK OF AMERICA, NATIONAL ASSOCIATION",2014,1,4,0,0,0,5,0,0,0,10
AK,"BANK OF AMERICA, NATIONAL ASSOCIATION",2015,1,6,0,0,0,2,1,0,0,10
AK,"BANK OF AMERICA, NATIONAL ASSOCIATION",2016,3,8,0,1,0,4,0,0,0,16
AK,"BANK OF AMERICA, NATIONAL ASSOCIATION",2017,0,10,0,3,0,0,0,0,0,13
AK,"BANK OF AMERICA, NATIONAL ASSOCIATION",2018,0,14,1,0,0,8,0,0,0,23
AK,"BANK OF AMERICA, NATIONAL ASSOCIATION",2019,1,12,0,5,0,1,0,0,0,19
AK,"BANK OF AMERICA, NATIONAL ASSOCIATION",2020,0,3,2,0,0,0,0,0,0,5
AK,CAPITAL ONE FINANCIAL CORPORATION,2012,0,4,0,0,0,0,0,0,0,4
AK,CAPITAL ONE FINANCIAL CORPORATION,2013,1,5,0,0,0,0,0,0,0,6
AK,CAPITAL ONE FINANCIAL CORPORATION,2014,0,4,0,0,0,0,0,0,0,4
AK,CAPITAL ONE FINANCIAL CORPORATION,2015,0,4,0,0,0,0,0,0,0,4
AK,CAPITAL ONE FINANCIAL CORPORATION,2016,0,2,0,0,0,0,1,0,0,3
AK,CAPITAL ONE FINANCIAL CORPORATION,2017,0,6,0,1,1,0,0,0,0,8
AK,CAPITAL ONE FINANCIAL CORPORATION,2018,3,5,3,2,0,0,0,0,0,13
AK,CAPITAL ONE FINANCIAL CORPORATION,2019,0,2,1,2,0,0,0,0,0,5
AK,CAPITAL ONE FINANCIAL CORPORATION,2020,0,6,2,0,0,0,0,0,0,8
AK,"CITIBANK, N.A.",2012,0,0,0,0,0,1,0,0,0,1
AK,"CITIBANK, N.A.",2013,1,2,0,0,0,2,0,0,0,5
AK,"CITIBANK, N.A.",2014,0,1,0,1,0,3,0,0,0,5
AK,"CITIBANK, N.A.",2015,1,1,0,2,0,1,0,0,0,5
AK,"CITIBANK, N.A.",2016,1,5,0,0,0,0,0,0,0,6
AK,"CITIBANK, N.A.",2017,0,10,1,0,0,1,0,0,0,12
AK,"CITIBANK, N.A.",2018,2,1,0,1,0,0,0,0,0,4
AK,"CITIBANK, N.A.",2019,0,3,0,1,0,0,0,0,0,4
AK,"CITIBANK, N.A.",2020,0,1,1,0,0,0,0,0,0,2
AK,"EQUIFAX, INC.",2012,0,0,5,0,0,0,0,0,0,5
AK,"EQUIFAX, INC.",2013,0,0,8,0,0,0,0,0,0,8
AK,"EQUIFAX, INC.",2014,0,0,13,0,0,0,0,0,0,13
AK,"EQUIFAX, INC.",2015,0,0,11,0,0,0,0,0,0,11
AK,"EQUIFAX, INC.",2016,0,0,16,0,0,0,0,0,0,16
AK,"EQUIFAX, INC.",2017,0,0,24,1,0,0,0,0,0,25
AK,"EQUIFAX, INC.",2018,0,0,27,4,0,0,0,0,0,31
AK,"EQUIFAX, INC.",2019,0,0,14,4,0,1,0,0,0,19
AK,"EQUIFAX, INC.",2020,0,0,44,2,0,0,0,0,0,46
AK,Experian Information Solutions Inc.,2012,0,0,2,0,0,0,0,0,0,2
AK,Experian Information Solutions Inc.,2013,0,0,10,0,0,0,0,0,0,10
AK,Experian Information Solutions Inc.,2014,0,0,15,0,0,0,0,0,0,15
AK,Experian Information Solutions Inc.,2015,0,0,14,0,0,0,0,0,0,14
AK,Experian Information Solutions Inc.,2016,0,0,17,0,0,0,0,0,0,17
AK,Experian Information Solutions Inc.,2017,0,0,6,1,0,0,0,0,0,7
AK,Experian Information Solutions Inc.,2018,0,0,23,3,0,0,0,0,0,26
AK,Experian Information Solutions Inc.,2019,0,0,25,0,0,0,0,0,0,25
AK,Experian Information Solutions Inc.,2020,0,0,56,2,0,0,0,0,0,58
AK,JPMORGAN CHASE & CO.,2011,0,1,0,0,0,0,0,0,0,1
AK,JPMORGAN CHASE & CO.,2012,1,3,0,0,0,2,1,0,0,7
AK,JPMORGAN CHASE & CO.,2013,1,5,0,2,0,1,0,1,0,10
AK,JPMORGAN CHASE & CO.,2014,0,2,0,1,0,1,0,0,0,4
AK,JPMORGAN CHASE & CO.,2015,0,2,0,0,0,0,0,0,0,2
AK,JPMORGAN CHASE & CO.,2016,2,3,0,0,0,3,0,0,0,8
AK,JPMORGAN CHASE & CO.,2017,1,1,1,0,0,1,0,0,0,4
AK,JPMORGAN CHASE & CO.,2019,0,1,0,0,0,0,0,0,0,1
AK,JPMORGAN CHASE & CO.,2020,2,2,0,0,0,0,0,0,0,4
AK,"Navient Solutions, LLC.",2012,0,0,0,0,0,0,0,2,0,2
AK,"Navient Solutions, LLC.",2013,0,0,0,1,0,0,0,1,0,2
AK,"Navient Solutions, LLC.",2014,0,0,0,3,0,0,0,1,0,4
AK,"Navient Solutions, LLC.",2016,0,0,0,1,0,0,0,5,0,6
AK,"Navient Solutions, LLC.",2017,0,0,0,0,0,0,0,14,0,14
AK,"Navient Solutions, LLC.",2018,0,0,4,2,0,0,0,3,0,9
AK,"Navient Solutions, LLC.",2019,0,0,1,0,0,0,0,5,0,6
AK,"Navient Solutions, LLC.",2020,0,0,0,1,0,0,0,1,0,2
AK,Ocwen Financial Corporation,2012,0,0,0,0,0,2,0,0,0,2
AK,Ocwen Financial Corporation,2013,0,0,0,0,0,7,0,0,0,7
AK,Ocwen Financial Corporation,2014,0,0,0,0,0,4,0,0,0,4
AK,Ocwen Financial Corporation,2015,0,0,0,1,0,2,0,0,0,3
AK,Ocwen Financial Corporation,2017,0,0,0,1,0,3,0,0,0,4
AK,Ocwen Financial Corporation,2019,0,0,1,0,0,1,0,0,0,2
AK,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2012,0,0,2,0,0,0,0,0,0,2
AK,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2013,0,0,9,0,0,0,0,0,0,9
AK,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2014,0,0,10,0,0,0,0,0,0,10
AK,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2015,0,0,12,0,0,0,0,0,0,12
AK,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2016,0,0,14,0,0,0,0,0,0,14
AK,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2017,0,0,9,0,0,0,0,0,0,9
AK,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2018,0,0,23,2,0,0,0,0,0,25
AK,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2019,0,0,17,0,0,0,0,0,0,17
AK,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2020,0,0,51,3,0,0,0,0,0,54
AK,WELLS FARGO & COMPANY,2011,0,0,0,0,0,1,0,0,0,1
AK,WELLS FARGO & COMPANY,2012,9,3,0,0,0,8,0,1,0,21
AK,WELLS FARGO & COMPANY,2013,8,1,0,0,1,14,0,1,0,25
AK,WELLS FARGO & COMPANY,2014,10,0,0,1,1,10,1,0,0,23
AK,WELLS FARGO & COMPANY,2015,2,2,0,0,0,10,1,1,0,16
AK,WELLS FARGO & COMPANY,2016,8,3,0,0,1,18,2,0,0,32
AK,WELLS FARGO & COMPANY,2017,8,2,0,3,0,9,0,0,0,22
AK,WELLS FARGO & COMPANY,2018,2,1,1,2,1,5,1,0,0,13
AK,WELLS FARGO & COMPANY,2019,7,1,0,0,0,5,1,1,0,15
AK,WELLS FARGO & COMPANY,2020,3,1,2,0,0,7,0,0,0,13
AL,"BANK OF AMERICA, NATIONAL ASSOCIATION",2011,0,2,0,0,0,1,0,0,0,3
AL,"BANK OF AMERICA, NATIONAL ASSOCIATION",2012,4,17,0,0,0,89,1,0,0,111
