Year,State,Product,Count
2011,AL,Credit card or prepaid card,10
2011,AL,Mortgage,8
2011,AR,Credit card or prepaid card,5
2011,AR,Mortgage,4
2011,AZ,Credit card or prepaid card,24
2011,AZ,Mortgage,29
2011,CA,Credit card or prepaid card,154
2011,CA,Mortgage,285
2011,CO,Credit card or prepaid card,27
2011,CO,Mortgage,22
2011,CT,Credit card or prepaid card,21
2011,CT,Mortgage,21
2011,DC,Credit card or prepaid card,6
2011,DC,Mortgage,5
2011,DE,Credit card or prepaid card,9
2011,DE,Mortgage,6
2011,FL,Credit card or prepaid card,141
2011,FL,Mortgage,105
2011,GA,Credit card or prepaid card,38
2011,GA,Mortgage,61
2011,IA,Credit card or prepaid card,9
2011,IA,Mortgage,4
2011,ID,Credit card or prepaid card,2
2011,ID,Mortgage,4
2011,IL,Credit card or prepaid card,48
2011,IL,Mortgage,34
2011,IN,Credit card or prepaid card,11
2011,IN,Mortgage,14
2011,KS,Credit card or prepaid card,11
2011,KS,Mortgage,4
2011,KY,Credit card or prepaid card,7
2011,KY,Mortgage,5
2011,LA,Credit card or prepaid card,7
2011,LA,Mortgage,5
2011,MA,Credit card or prepaid card,29
2011,MA,Mortgage,42
2011,MD,Credit card or prepaid card,34
2011,MD,Mortgage,34
2011,ME,Credit card or prepaid card,12
2011,ME,Mortgage,4
2011,MI,Credit card or prepaid card,31
2011,MI,Mortgage,36
2011,MN,Credit card or prepaid card,20
2011,MN,Mortgage,21
2011,MO,Credit card or prepaid card,14
2011,MO,Mortgage,17
2011,MS,Credit card or prepaid card,2
2011,MS,Mortgage,5
2011,MT,Credit card or prepaid card,4
2011,MT,Mortgage,3
2011,NC,Credit card or prepaid card,35
2011,NC,Mortgage,36
2011,ND,Mortgage,1
2011,NE,Credit card or prepaid card,2
2011,NE,Mortgage,2
2011,NH,Credit card or prepaid card,3
2011,NH,Mortgage,10
2011,NJ,Credit card or prepaid card,46
2011,NJ,Mortgage,43
2011,NM,Credit card or prepaid card,4
2011,NM,Mortgage,2
2011,NV,Credit card or prepaid card,10
2011,NV,Mortgage,8
2011,NY,Credit card or prepaid card,118
2011,NY,Mortgage,90
2011,OH,Credit card or prepaid card,41
2011,OH,Mortgage,28
2011,OK,Credit card or prepaid card,9
2011,OK,Mortgage,5
2011,OR,Credit card or prepaid card,14
2011,OR,Mortgage,15
2011,PA,Credit card or prepaid card,43
2011,PA,Mortgage,42
2011,RI,Credit card or prepaid card,3
2011,RI,Mortgage,7
2011,SC,Credit card or prepaid card,13
2011,SC,Mortgage,8
2011,SD,Credit card or prepaid card,7
2011,SD,Mortgage,3
2011,TN,Credit card or prepaid card,21
2011,TN,Mortgage,16
2011,TX,Credit card or prepaid card,86
2011,TX,Mortgage,61
2011,UT,Credit card or prepaid card,6
2011,UT,Mortgage,4
2011,VA,Credit card or prepaid card,44
2011,VA,Mortgage,44
2011,VT,Credit card or prepaid card,2
2011,VT,Mortgage,2
2011,WA,Credit card or prepaid card,29
2011,WA,Mortgage,35
2011,WI,Credit card or prepaid card,12
2011,WI,Mortgage,12
2011,WV,Credit card or prepaid card,2
2011,WV,Mortgage,5
2011,WY,Credit card or prepaid card,2
2012,AL,Bank account or service,104
2012,AL,Consumer Loan,23
2012,AL,Credit card or prepaid card,135
2012,AL,"Credit reporting, credit repair services, or other personal consumer reports",15
2012,AL,Mortgage,281
2012,AL,Student loan,25
2012,AR,Bank account or service,49
2012,AR,Consumer Loan,2
2012,AR,Credit card or prepaid card,73
2012,AR,"Credit reporting, credit repair services, or other personal consumer reports",13
2012,AR,Mortgage,112
2012,AR,Student loan,15
2012,AZ,Bank account or service,252
2012,AZ,Consumer Loan,52
2012,AZ,Credit card or prepaid card,319
2012,AZ,"Credit reporting, credit repair services, or other personal consumer reports",43
2012,AZ,Mortgage,986
2012,AZ,Student loan,52
2012,CA,Bank account or service,1573
2012,CA,Consumer Loan,208
2012,CA,Credit card or prepaid card,1980
2012,CA,"Credit reporting, credit repair services, or other personal consumer reports",242
2012,CA,Mortgage,7397
2012,CA,Student loan,272
2012,CO,Bank account or service,199
2012,CO,Consumer Loan,32
2012,CO,Credit card or prepaid card,302
2012,CO,"Credit reporting, credit repair services, or other personal consumer reports",46
2012,CO,Mortgage,597
2012,CO,Student loan,41
2012,CT,Bank account or service,213
2012,CT,Consumer Loan,35
2012,CT,Credit card or prepaid card,241
2012,CT,"Credit reporting, credit repair services, or other personal consumer reports",19
2012,CT,Mortgage,480
2012,CT,Student loan,54
2012,DC,Bank account or service,91
2012,DC,Consumer Loan,12
2012,DC,Credit card or prepaid card,89
2012,DC,"Credit reporting, credit repair services, or other personal consumer reports",24
2012,DC,Mortgage,149
2012,DC,Student loan,30
2012,DE,Bank account or service,77
2012,DE,Consumer Loan,31
2012,DE,Credit card or prepaid card,101
2012,DE,"Credit reporting, credit repair services, or other personal consumer reports",8
2012,DE,Mortgage,167
2012,DE,Student loan,9
2012,FL,Bank account or service,1081
2012,FL,Consumer Loan,160
2012,FL,Credit card or prepaid card,1256
2012,FL,"Credit reporting, credit repair services, or other personal consumer reports",167
2012,FL,Mortgage,4165
2012,FL,Student loan,164
2012,GA,Bank account or service,456
2012,GA,Consumer Loan,79
2012,GA,Credit card or prepaid card,526
2012,GA,"Credit reporting, credit repair services, or other personal consumer reports",61
2012,GA,Mortgage,2141
2012,GA,Student loan,93
2012,IA,Bank account or service,41
2012,IA,Consumer Loan,5
2012,IA,Credit card or prepaid card,92
2012,IA,"Credit reporting, credit repair services, or other personal consumer reports",19
2012,IA,Mortgage,99
2012,IA,Student loan,19
2012,ID,Bank account or service,35
2012,ID,Consumer Loan,8
2012,ID,Credit card or prepaid card,70
2012,ID,"Credit reporting, credit repair services, or other personal consumer reports",8
2012,ID,Mortgage,124
2012,ID,Student loan,13
2012,IL,Bank account or service,540
2012,IL,Consumer Loan,76
